university,city,department,factor,reviewer_type,review_text,rating
NUML,Islamabad,Economics,Management,Alumni,"University: NUML, City: Islamabad. Management: Online portals simplify registration and fee payments; scholarship info is clear. Elective approvals and administrative disputes can take several weeks to resolve.",3
SZABIST Islamabad,Islamabad,Electrical Engineering,Cafeteria,Alumni,"University: SZABIST Islamabad, City: Islamabad. Cafeteria: Affordable food options with some healthy choices and extended hours during exams. Long queues and limited seating during events are frequent complaints. Based on informal surveys among peers, this is a recurring pattern.",3
Rawalpindi Medical University,Rawalpindi,Medical,Cafeteria,Undergraduate student,"University: Rawalpindi Medical University, City: Rawalpindi. Cafeteria: Several vendors provide variety, though peak times get crowded. Food hygiene and variety are sometimes a concern, especially during busy hours.",4
Riphah International University,Islamabad,Medical,Resources,Staff,"University: Riphah International University, City: Islamabad. Resources: Recent investments improved library and database subscriptions.",4
Riphah Rawalpindi Campus,Rawalpindi,Mechanical Engineering,Overall,Undergraduate student,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Overall: Overall positive academic environment with opportunities for research. Overall reputation is strong for certain departments but weaker for others, causing mixed outcomes. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3
SZABIST Islamabad,Islamabad,Mechanical Engineering,Management,Alumni,"University: SZABIST Islamabad, City: Islamabad. Management: Online portals simplify registration and fee payments; scholarship info is clear.",4
FAST-NUCES,Islamabad,Biology,Labs,Postgraduate student,"University: FAST-NUCES, City: Islamabad. Labs: Certain lab equipment is dated and booking is competitive, delaying final projects.",1
CUST,Islamabad,Electrical Engineering,Resources,Alumni,"University: CUST, City: Islamabad. Resources: Recent investments improved library and database subscriptions.",5
Riphah International University,Islamabad,Electrical Engineering,Cafeteria,Undergraduate student,"University: Riphah International University, City: Islamabad. Cafeteria: Food hygiene and variety are sometimes a concern, especially during busy hours. This aligns with several student forum complaints from last semester.",2
NUML,Islamabad,Medical,Overall,Staff,"University: NUML, City: Islamabad. Overall: Overall positive academic environment with opportunities for research. Placement support favours top students; average students find fewer opportunities. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Lab booking logs and placement statistics reflect this trend.",3
APCOMS,Rawalpindi,Biology,Campus,Alumni,"University: APCOMS, City: Rawalpindi. Campus: Recent renovations provided improved study pods and accessibility features.",4
Quaid-i-Azam University,Islamabad,Medical,Overall,Undergraduate student,"University: Quaid-i-Azam University, City: Islamabad. Overall: Placement support favours top students; average students find fewer opportunities. Lab booking logs and placement statistics reflect this trend.",2
